Je,PRON
forme,VERB
une,DET
entreprise,NOUN
qui,PRON
n’,ADV
eut,VERB
jamais,ADV
d’,DET
exemple,NOUN
",",PUNCT
et,CCONJ
dont,PRON
l’,DET
exécution,NOUN
n’,ADV
aura,VERB
point,NOUN
d’,ADP
imitateur,NOUN
.,PUNCT
Je,PRON
veux,VERB
montrer,VERB
à,ADP
mes,DET
semblables,NOUN
un,DET
homme,NOUN
dans,ADP
toute,ADJ
la,DET
vérité,NOUN
de,ADP
la,DET
nature,NOUN
",",PUNCT
et,CCONJ
cet,DET
homme,NOUN
",",PUNCT
ce,PRON
sera,VERB
moi,PRON
.,PUNCT
Moi,PRON
seul,ADJ
.,PUNCT
Je,PRON
sens,VERB
mon,DET
cœur,NOUN
",",PUNCT
et,CCONJ
je,PRON
connais,VERB
les,DET
hommes,NOUN
.,PUNCT
Je,PRON
ne,ADV
suis,AUX
fait,VERB
comme,ADP
aucun,PRON
de,DET
ceux,PRON
que,PRON
j’,PRON
ai,AUX
vus,VERB
;,PUNCT
j’,PRON
ose,VERB
croire,VERB
n’,ADV
être,AUX
fait,VERB
comme,ADP
aucun,PRON
de,ADP
ceux,PRON
qui,PRON
existent,VERB
.,PUNCT
Si,SCONJ
je,PRON
ne,ADV
vaux,VERB
pas,ADV
mieux,ADV
",",PUNCT
à,ADP
le,DET
moins,ADV
je,PRON
suis,AUX
autre,ADJ
.,PUNCT
Si,SCONJ
la,DET
nature,NOUN
a,AUX
bien,ADV
ou,CCONJ
mal,ADV
fait,VERB
de,ADP
briser,VERB
le,DET
moule,NOUN
dans,ADP
lequel,PRON
elle,PRON
m’,PRON
a,AUX
jeté,VERB
",",PUNCT
c’,PRON
est,AUX
ce,PRON
dont,PRON
on,PRON
ne,ADV
peut,VERB
juger,VERB
qu’,ADV
après,ADP
m’,PRON
avoir,AUX
lu,VERB
.,PUNCT
Que,SCONJ
la,DET
trompette,NOUN
de,ADP
le,DET
jugement,NOUN
dernier,ADJ
sonne,VERB
quand,SCONJ
elle,PRON
voudra,VERB
",",PUNCT
je,PRON
viendrai,VERB
",",PUNCT
ce,DET
